241,238,82,204,32,210,111,200,53,230,76,41,190,68,65,39
147,139,86,114,3,79,177,170,122,36,7,252,169,70,154,127
236,116,224,8,14,195,28,99,136,30,130,138,209,61,92,20
24,217,27,16,166,184,91,117,221,15,6,10,104,175,182,155
83,40,51,255,121,19,13,243,34,150,196,108,43,144,148,0
97,191,42,22,100,81,96,186,205,141,151,245,11,168,47,254
5,189,201,69,132,89,1,234,118,72,85,102,164,123,179,215
231,101,162,213,38,233,12,74,17,113,242,156,126,216,232,171
160,199,49,192,188,229,218,222,153,134,128,185,163,29,240,115
52,173,66,181,107,18,63,146,176,103,109,62,67,183,9,249
149,212,250,2,48,98,46,95,59,248,161,106,21,37,84,94
239,219,207,211,194,4,223,64,140,31,93,174,158,180,90,235
167,159,251,142,193,60,135,145,75,56,165,133,137,206,124,80
50,105,45,87,143,178,58,25,119,120,152,228,208,77,226,131
214,244,187,78,88,246,227,198,26,202,253,237,35,197,44,23
129,247,157,203,112,172,71,57,54,55,73,33,125,225,220,110
