119,200,166,243,238,79,174,107,214,85,10,202,14,156,146,160
247,95,194,252,210,112,211,138,80,169,102,37,51,148,162,51
8,113,191,216,98,7,96,58,28,18,239,9,6,162,23,149
250,149,177,171,111,244,200,157,32,206,31,99,108,68,62,98
156,248,90,237,24,235,255,80,159,213,49,174,112,48,135,247
212,105,12,5,67,101,135,199,16,116,147,234,198,26,245,127
18,183,156,214,143,144,90,48,156,220,110,120,218,51,58,140
131,108,97,193,87,211,102,1,87,231,131,225,83,71,40,245
10,125,199,206,112,169,244,1,38,122,228,47,197,204,200,159
143,175,245,171,233,76,91,15,232,91,114,179,18,149,228,11
64,151,184,128,233,183,27,188,223,208,96,50,59,136,215,216
155,217,246,228,46,74,35,79,59,91,77,104,230,8,93,59
179,78,111,136,207,119,68,53,49,39,38,227,18,30,9,137
31,64,243,22,238,56,90,43,33,189,99,25,12,125,67,68
5,37,14,244,138,32,255,132,139,135,175,8,61,33,240,252
157,15,243,54,222,192,233,118,252,209,84,75,200,20,248,255
